PhraseId,Sentiment
156061,3
156062,3
156063,2
156064,2
156065,2
156066,3
156067,3
156068,2
156069,4
156070,2
156071,2
156072,2
156073,2
156074,2
156075,2
156076,1
156077,3
156078,1
156079,1
156080,2
156081,2
156082,2
156083,1
156084,2
156085,2
156086,2
156087,2
156088,2
156089,2
156090,2
156091,3
156092,3
156093,3
156094,2
156095,2
156096,2
156097,2
156098,2
156099,2
156100,2
156101,2
156102,2
156103,2
156104,2
156105,2
156106,2
156107,2
156108,2
156109,2
156110,2
156111,2
156112,2
156113,2
156114,2
156115,2
156116,2
156117,1
156118,2
156119,2
156120,2
156121,2
156122,1
156123,2
156124,1
156125,3
156126,2
156127,2
156128,1
156129,2
156130,1
156131,2
156132,1
156133,2
156134,2
156135,2
156136,1
156137,2
156138,1
156139,1
156140,1
156141,1
156142,2
156143,2
156144,2
156145,2
156146,2
156147,2
156148,2
156149,2
156150,1
156151,2
156152,2
156153,2
156154,3
156155,2
156156,2
156157,2
156158,2
156159,2
156160,2
156161,2
156162,2
156163,2
156164,2
156165,2
156166,4
156167,2
156168,4
156169,2
156170,2
156171,3
156172,3
156173,2
156174,3
156175,3
156176,2
156177,2
156178,1
156179,2
156180,1
156181,2
156182,2
156183,2
156184,2
156185,2
156186,2
156187,2
156188,2
156189,2
156190,2
156191,2
156192,2
156193,2
156194,2
156195,2
156196,2
156197,1
156198,1
156199,1
156200,2
156201,2
156202,2
156203,2
156204,2
156205,2
156206,3
156207,2
156208,2
156209,2
156210,2
156211,2
156212,2
156213,2
156214,2
156215,1
156216,3
156217,2
156218,1
156219,4
156220,2
156221,3
156222,3
156223,1
156224,2
156225,2
156226,1
156227,2
156228,2
156229,2
156230,2
156231,2
156232,2
156233,2
156234,2
156235,2
156236,3
156237,2
156238,4
156239,2
156240,3
156241,2
156242,2
156243,3
156244,3
156245,3
156246,3
156247,2
156248,2
156249,2
156250,3
156251,3
156252,2
156253,2
156254,2
156255,2
156256,2
156257,2
156258,2
156259,3
156260,2
156261,2
156262,3
156263,3
156264,3
156265,1
156266,3
156267,2
156268,2
156269,1
156270,2
156271,1
156272,2
156273,2
156274,2
156275,3
156276,3
156277,4
156278,2
156279,2
156280,2
156281,3
156282,3
156283,2
156284,2
156285,2
156286,3
156287,3
156288,3
